Name,Parameters,Examples,Description,Notes,Version Added
clr_country_flag,<flag>The unique string of a country flag to clear.,clr_country_flag = my_flag,Clears a defined country flag for the current scope.,,1.1
change_tag,<scope>The scope to change to.,change_tag = FRAchange_tag = ROOTchange_tag = event_target:my_country,Changes current scope to <scope> tag.,,1.1
switch_tag,<scope>The scope to switch to.,switch_tag = FRAswitch_tag = ROOTswitch_tag = event_target:my_country,Switches the player view to <scope> tag. Original country becomes controlled by AI.,,1.8
change_graphical_culture,<gfxculture>The graphical culture to assign.,change_graphical_culture = westerngfx,"Changes the current scope's graphical culture. Graphical culture determines the unit models, advisor portraits, etc. that a country uses.",Graphical cultures are found in/Europa Universalis IV/common/graphicalculturetype.txt.,1.11
override_country_name,<string>The localisation key to assign.,override_country_name = KINGDOM_OF_GOD,Changes the country name of current scope to <string>.,,1.30
restore_country_name,yesBoolean.,restore_country_name = yes,Restores the country name of current scope to its original.,,1.30
change_country_color,color = { <red> <green> <blue> }The RGB value to change to.country = <scope>The country who's color should be used.,"change_country_color = { 
    color = { 100 100 100 }
}change_country_color = { country = ROOT }",Changes the country color of current scope to the specified color or to the color of the specified country.,"Eithercountryorcolormust be used, but not both. Can be used withset_country_flag = has_overriden_color_flagto enable the ""Restore our Color"" decision.",1.35
restore_country_color,yesBoolean.,restore_country_color = yes,Restores the country color of the current scope to its original.,,
add_adm_power,<int>The amount of power to add.,add_adm_power = 100,Addsadministrative powerto the current scope.,,1.1
add_dip_power,<int>The amount of power to add.,add_dip_power = 100,Addsdiplomatic powerto the current scope.,,1.1
add_mil_power,<int>The amount of power to add.,add_mil_power = 100,Addsmilitary powerto the current scope.,,1.1
set_saved_name,"key = <string>The key that holds the name.type = advisor / simpleThe name generation type. Advisor draws from namelist, simple utilises name parameter.name = <string>The name to hold in the key. Only used with thesimpletype.scope = <scope>The country scope to draw the namelist from. Only used with theadvisortype.","Simple:set_saved_name = {
    key = simple_name
    type = simple
    name = ""My Simple Name""
}define_ruler = {
    name = simple_name
}Advisor:set_saved_name = {
    key = noble_zealot
    type = advisor
    scope = ROOT
}spawn_rebels = {
    size = 1
    leader = noble_zealot
    type = religious_rebels
}",Saves a name to a unique key for usage in other effects.,"Usable withdefine_admiral,define_explorer,define_conquistador,define_general,define_ruler,define_consort,define_heir,define_advisorandspawn_rebels.",1.23
clear_saved_name,<key>The name key to clear.,clear_saved_name = noble_zealot,Clears a saved name key.,Use this after using the saved name in an effect.,1.23
change_innovativeness,<int>The amount of innovativeness added.,change_innovativeness = 3,Addsinnovativenessto the current scope.,"Range [-100.0, 100.0]capped to [0.0, 100.0]",1.25
complete_mission,<key>The identifier of the mission.,complete_mission = expand_country_mission,Marks a mission as completed.,"Mission rewards are not given when using this effect. Instead, the mission is simply marked as complete. It will count towards any missions that require it, and it will count as completed in themission_completedtrigger.",1.25
swap_non_generic_missions,yesBoolean.,swap_non_generic_missions = yes,Reloads the mission tree. Useful for flag-based mission trees.,,?
adm_power_cost,<int>The amount of power to scale and then subtract.,adm_power_cost = 100,"Scales the amount with the power cost modifier, then takesadministrative powerfrom the current scope.",,1.27
dip_power_cost,<int>The amount of power to scale and then subtract.,dip_power_cost = 100,"Scales the amount with the power cost modifier, then takesdiplomatic powerfrom the current scope.",,1.27
mil_power_cost,<int>The amount of power to scale and then subtract.,mil_power_cost = 100,"Scales the amount with the power cost modifier, then takesmilitary powerfrom the current scope.",,1.27
remove_country,yesBoolean,remove_country = yes,The current country scope gets removed from existence.,"All of the current country scope's provinces become uncolonized, all its subjects become independent, and all its units are disbanded.",1.35
play_sound,<identifier>,play_sound = heir_die,Plays a sound file.,Sound names are found in/Europa Universalis IV/sound/all_sounds.asset.,1.36
add_years_of_income,<float>The amount of income to add or subtract.,add_years_of_income = 0.5,Adds ducats equal to the years of income defined.,"1is equal to 1 year of income, based on a country's current monthly income.",1.1
add_treasury,<int>The amount of ducats to add or subtract.,add_treasury = 50,Adds ducats to the current scope.,,1.1
add_inflation,<float>The amount of inflation to add or subtract.,add_inflation = 2,Adds inflation to the current scope.,,1.1
add_mercantilism,<int>The amount of mercantilism to add or subtract.,add_mercantilism = 2,Adds mercantilism to the current scope.,,1.1
add_owned_provinces_development_ducats,multiplier = <int>age_multiplier = <int>trigger = <scope>custom_tooltip = <string>,"add_owned_provinces_development_ducats = {
    multiplier = 2
    age_multiplier = 1
    trigger = { culture = english }
    custom_tooltip = ENGLISH_CULTURE_PROV_TT
}",Adds money scaling with the development of the current country's provinces multiplied bymultiplierandage_multiplier.,triggercontrols which provinces are taken into consideration.,1.35
add_owned_provinces_development_manpower,multiplier = <int>age_multiplier = <int>trigger = <scope>custom_tooltip = <string>,"add_owned_provinces_development_manpower = {
    multiplier = 2
    age_multiplier = 1
    trigger = { culture = english }
    custom_tooltip = ENGLISH_CULTURE_PROV_TT
}",Adds manpower scaling with the development of the current country's provinces multiplied bymultiplierandage_multiplier.,triggercontrols which provinces are taken into consideration.,1.35
add_tariff_value,<float>The amount of tariff value to add or subtract.,add_tariff_value = 0.1,Adds tariff value to the current scope.,Tariff value is the ducats sent to an overlord by subjects such as colonial nations.,1.4
loan_size,<int>The value to change to.,loan_size = 24,Changes the loan size of the current scope.,Size is the number of months in monthly income that a single loan is equal to.,1.1
change_price,trade_goods = <tradegood>The trade good to change.key = <string>The localisation key to display in the Trade Good's price tooltip.value = <float>The percentage to change the value by.duration = <days>The duration for the value to stay changed for.,"change_price = {
    trade_goods = grain
    key = grain_shortage
    value = 0.5
    duration = 3650
}",Changes the price of a trade good globally.,Tradegood prices are found in/Europa Universalis IV/common/prices/*.txtThe new price is the base price + (base price * value)durationaccepts -1 for unlimited duration.,1.8
add_loan,"interest_modifier = <value>Additive interest modifier.fixed_interest = <value>optional, the loan uses this interest amountduration = <integer>The duration in months.","add_loan = {
	interest_modifier = -0.5
	fixed_interest = 1.5
	duration = 60
}",Takes a loan for the current scope.,,1.26
raise_war_taxes,yesBoolean,raise_war_taxes = yes,Raises war taxes without spending military power,,1.26
add_years_of_owned_provinces_production_income,years = <value>Years of production income to grant.trigger = <scope>Which provinces to include for the production income calculation.custom_tooltip = <string>The tooltip to display for this effect,"add_years_of_owned_provinces_production_income = {
    years = 8
    trigger = {
        OR = {
            trade_goods = cloth
            trade_goods = silk
        }
    }
    custom_tooltip = MONOPOLY_INCOME_CLOTH_DESC
}",Grants the current scope immediate ducats based on the production income of the specified provinces over the specified duration.,,1.30
add_years_of_owned_provinces_manpower,years = <value>Years of manpower to grant.trigger = <scope>Which provinces to include for the manpower calculation.custom_tooltip = <string>The tooltip to display for this effect,"add_years_of_owned_provinces_manpower = {
	years = 4
	trigger = {
		religion = ROOT
		has_tax_building_trigger = yes
	}
	custom_tooltip = liv_land_of_churches_tt
}",Grants the current scope immediate manpower based on the manpower generation of the specified provinces over the specified duration.,,1.34
add_years_of_owned_provinces_sailors,years = <value>Years of sailors to grant.trigger = <scope>Which provinces to include for the sailors calculation.custom_tooltip = <string>The tooltip to display for this effect,"add_years_of_owned_provinces_sailors = {
	years = 10
	trigger = {
		culture_group = iberian
	}
	custom_tooltip = ""Gain 10 years of Iberian sailors""
}",Grants the current scope immediate sailors based on the sailor generation of the specified provinces over the specified duration.,,1.34
set_bankruptcy,<scope>The scope to make bankrupt,set_bankruptcy = FRA,Makes the specified country go bankrupt.,,1.34
steer_trade,<scope>,steer_trade = FRA,The current country scope steers trade power to the specified country scope.,,1.35
add_absolutism,<int>The amount of absolutism to add or subtract.,add_absolutism = 10,Adds absolutism to the current scope.,No effect if Absolutism isn't active.,1.20
add_government_reform,<reform>The name of the reform to enact.,add_government_reform = revolutionary_empire_reform,"IfDharma is active, enacts a government reform, replacing any existing reform at the same tier.If Dharma isnotactive, changes to the legacy government type that this reform has listed as itslegacy_equivalent.",,1.26
remove_government_reform,<reform>The name of the reform to remove.,remove_government_reform = revolutionary_empire_reform,"IfDharma is active, removes a government reform. If this reform was not in the highest achieved reform tier, the country can pick a new reform for free.",No effect if Dharma isn't active.,1.26
change_government_reform_progress,<int>The amount of reform progress to add or subtract.,change_government_reform_progress = 100,Adds reform progress to the current scope.,,1.26
add_legitimacy,"<int>The amount of legitimacy to add or subtract.<scope>The amount of legitimacy to add or subtract, taking the value from the scope's current value.",add_legitimacy = 10add_legitimacy = CAS,Adds legitimacy to the current scope.,No effect if not a governmentmonarchy.,1.1
add_republican_tradition,<int>The amount of republican tradition to add or subtract.,add_republican_tradition = 10,Adds republican tradition to the current scope.,No effect if not a government usingrepublic.,1.1
add_scaled_republican_tradition,<int>The amount of republican tradition to add or subtract.,add_scaled_republican_tradition = 10,Adds republican tradition to the current scope.,Scales to the government's election cycle duration.No effect if not a government usingrepublic.,1.7
add_devotion,<int>The amount of devotion to add or subtract.,add_devotion = 10,Adds devotion to the current scope.,No effect if not a government usinghas_devotion.,1.12
add_horde_unity,<int>The amount of horde unity to add or subtract.,add_horde_unity = 10,Adds horde unity to the current scope.,No effect if not a government usingnomad.,1.14
add_meritocracy,<int>The amount of meritocracy to add or subtract.,add_meritocracy = 10,Adds meritocracy to the current scope.,No effect if not a government usinghas_meritocracy.,1.20
set_meritocracy,<int>The amount of meritocracy to set.,set_meritocracy = 10,Sets the current meritocracy for the current scope.,No effect if not a government usinghas_meritocracy.,1.20
add_militarised_society,<int>The amount of militarisation to add or subtract.,add_militarised_society = 10,Adds militarisation to the current scope.,No effect if not a government usingmilitarised_society.,1.18
add_revolutionary_zeal,<int>The amount of revolutionary zeal to add or subtract.,add_revolutionary_zeal = 10,Adds revolutionary zeal to the current scope.,No effect if not a government usingrevolutionary zeal.,1.30
add_tribal_allegiance,<int>The amount of tribal allegiance to add or subtract.,add_tribal_allegiance = 10,Adds tribal allegiance to the current scope.,No effect if not a government usingtribal_federation_mechanic.,1.23
adopt_reform_progress,<scope>Adopts the government reform progress from the target country scope.,adopt_reform_progress = FROM,Adopts the government reform progress from the target country scope.,Used when the Papal States is released.,???
change_statists_vs_orangists,<int>The amount of swing towards statists or orangists.,change_statists_vs_orangists = 0.1,Changes the Organist-Statist balance.,"Positive moves towards Orangist, negative moves towards Statists. In percent form.",1.7
change_statists_vs_monarchists,<int>The amount of swing towards statists or monarchists.,change_statists_vs_monarchists = 0.1,Changes the Monarchist-Statist balance.,"Positive moves towards Monarchist, negative moves towards Statists. In percent form.",
change_government,<government>The government to change to.,change_government = dictatorship,Changes the government of the current scope.,Governments are found in/Europa Universalis IV/common/governments/*.txt.,1.1 (1.28.3 - will now always refund reform progress)
set_government_rank,<int>The rank to change to.,set_government_rank = 3,Changes the government rank of the current scope.,Default range is 1 to 3.,1.12
add_government_power,mechanic_type = <type>Which government mechanic the power belongs to.power_type = <type>Which power type to add the power to.value = <float>The amount of power to add.,"add_government_power = {
	mechanic_type = russian_modernization_mechanic
	power_type = russian_modernization
	value = 10
}",Changes the value of the specified power for the specified government mechanic.,Government mechanicscan be found incommon/government_mechanics,1.35Initially added in 1.23 with a different syntax and for hardcoded government mechanics.
add_government_power_scaled_to_seats,mechanic_type = <type>Which government mechanic the power belongs to.power_type = <type>Which power type to add the power to.value = <float>The amount of power to add.,"add_government_power_scaled_to_seats = {
	mechanic_type = russian_modernization_mechanic
	power_type = russian_modernization
	value = 10
}",Changes the value of the specified power for the specified government mechanic scaled to the amount of parliament seats the country has.,Government mechanicscan be found incommon/government_mechanics,1.35
set_government_power,mechanic_type = <type>Which government mechanic the power belongs to.power_type = <type>Which power type to set the value of.value = <float>The amount of power to set to.,"set_government_power = {
	mechanic_type = russian_modernization_mechanic
	power_type = russian_modernization
	value = 10
}",Sets the specified power for the specified government mechanic to the specified value.,Government mechanicscan be found incommon/government_mechanics,1.35
freeze_government_power,mechanic_type = <type>Which government mechanic the power belongs to.power_type = <type>Which power type to freeze.,"freeze_government_power = {
	mechanic_type = russian_modernization_mechanic
	power_type = russian_modernization
}","Freezes the specified power of the specified government mechanic, so that it cannot be changed anymore.",Government mechanicscan be found incommon/government_mechanics,1.35
unfreeze_government_power,mechanic_type = <type>Which government mechanic the power belongs to.power_type = <type>Which power type to freeze.,"unfreeze_government_power = {
	mechanic_type = russian_modernization_mechanic
	power_type = russian_modernization
}","Unfreezes the specified power of the specified government mechanic, so that it can be changed again.",Government mechanicscan be found incommon/government_mechanics,1.35
regenerate_government_mechanics,yesBoolean.,regenerate_government_mechanics = yes,Regenerates the country's government mechanics.,Used for UI purposes.,1.35
set_government_and_rank,government = <government>The government to change to.rank = <int>The rank to change to.,"set_government_and_rank = { 
    government = celestial_empire
    rank = 3
}",Changes the current scope's government and rank at the same time.,Governments are found in/Europa Universalis IV/common/governments/*.txt.Will respect that governments have fixed ranks and the maximum ranks for subject types.,1.22 (obsolete as of 1.26?)
set_legacy_government,government = <government>The pre-Dharma government type to change to.,set_legacy_government = despotic_monarchy,Switches to the given government type.,"No effect ifDharma is active. Use add_government_reform or change_government_via_reform instead. Combine this with effects that change government only if Dharma is active, e.g.change_government_via_reform.",1.26
dissolve_parliament,yesBoolean.,dissolve_parliament = yes,Disables the Parliament mechanic.,Only effects governments withhas_parliament.,1.15
reinstate_parliament,yesBoolean.,reinstate_parliament = yes,Re-enables the Parliament mechanic afterdissolve_parliament.,Only effects governments withhas_parliament.,1.15
start_debate,<identifier>The parliament issue to debate.,start_debate = support_ruling_dynasty,Starts a debate in the parliament for the specified issue.,Parliament issues can be found incommon/parliament_issues.Ongoing debates will be canceled (canceling a debate should NOT activate the prestige loss).,1.35
end_current_debate,<yes>/<no>Boolean.,remove_enacted_issue = yes,Ends the current debate immediately. Ifyesthen the debate succeeds and the issue gets enacted. Ifnothen the debate fails and the failure penalty is applied.,,1.35
cancel_current_debate,yesBoolean.,cancel_current_debate = yes,"Cancels the current debate in parliament, allowing a new debate to be started.",,1.35
remove_enacted_issue,yesBoolean.,remove_enacted_issue = yes,"Removes the currently enacted parliament issue, allowing a new debate to be started.",,1.35
enact_issue,<identifier>The parliament issue to enact.,enact_issue = support_ruling_dynasty,Enacts the parliament issue and skips the whole process of debating.,Parliament issues can be found incommon/parliament_issues.,1.35
add_accepted_culture,"<culture>The culture to add.<scope>The culture to add, derived from the scope.",add_accepted_culture = englishadd_accepted_culture = ENGadd_accepted_culture = event_target:my_event_targetadd_accepted_culture = variable:my_variable,Adds a new accepted culture to the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txt.Can utiliseEvent Scope Values.,1.1
change_primary_culture,"<culture>The culture to change to, from/Europa Universalis IV/common/cultures/.<scope>The culture to change to, derived from the scope.",change_primary_culture = englishchange_primary_culture = ENGchange_primary_culture = event_target:my_event_targetchange_primary_culture = variable:my_variable,Changes the primary culture of the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txt.Can utiliseEvent Scope Values.,1.1
remove_accepted_culture,"<culture>The culture to remove, from/Europa Universalis IV/common/cultures/.<scope>The culture to remove, derived from the scope.",remove_accepted_culture = englishremove_accepted_culture = ENGremove_accepted_culture = event_target:my_event_targetremove_accepted_culture = variable:my_variable,Removes an accepted culture from the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txt.Can utiliseEvent Scope Values.,1.1
change_religion,"<religion>The religion to change to.<scope>The religion to change to, derived from the scope.",change_religion = catholicchange_religion = event_target:my_event_targetchange_religion = variable:my_variable,Changes the religion of the current scope.,Religions are found in/Europa Universalis IV/common/religions/*.txtCan utiliseEvent Scope Values.Does not acceptTAGscopes.,1.1
enable_religion,<religion>The religion to change to.,enable_religion = reformed,Enables an religion that has been restricted with thedateparameter.,Religions are found in/Europa Universalis IV/common/religions/*.txt,1.1
force_converted,yesBoolean.,force_converted = yes,Sets whether the current scope has been force converted.,,1.1
add_authority,<int>The amount of authority to add.,add_authority = 10,Adds authority to the current scope. Used in Religious Reforms that useauthority.,No effect if the country does not hold a religion usingauthority.,1.10
add_doom,<int>The amount of doom to add.,add_doom = 10,Adds doom to the current scope. Used in Religious Reforms that usedoom.,No effect if the country does not hold a religion usingdoom.,1.10
remove_religious_reforms,<int>The amount of religious reforms to remove.,remove_religious_reforms = 2,Removes taken religious reforms from the current scope.,No effect if the country does not hold a religion usingreligious_reforms.,1.10
add_fervor,<int>The amount of fervor to add or subtract.,add_fervor = 10,Adds Fervor to the current scope.,No effect if the country does not hold a religion usingfervor.,1.6
add_karma,<int>The amount of karma to add or subtract.,add_karma = 10,Adds Karma to the current scope.,No effect if the country does not hold a religion usinguses_karma.,1.12
set_karma,<int>The amount of karma to set.,set_karma = 10,Sets the Karma value for the current scope.,No effect if the country does not hold a religion usinguses_karma.,1.12
add_church_power,<int>The amount of church power to add or subtract.,add_church_power = 10,Adds Church Power to the current scope.,No effect if the country does not hold a religion usinguses_church_power.,1.12
add_church_aspect,<aspect>The church aspect to add.,add_church_aspect = adult_baptism_aspect,Adds the defined aspect to the current scope.,Church Aspects are found in/Europa Universalis IV/common/church_aspects/00_church_aspects.txt.No effect if the country does not hold a religion usinguses_church_powerand the aspect set inaspects.Does not work with Blessings.,1.12
remove_church_aspect,<aspect>The church aspect to remove. You can also userandomhere to pick a random aspect.,remove_church_aspect = adult_baptism_aspect,Removes the defined aspect from the current scope.,Church Aspects are found in/Europa Universalis IV/common/church_aspects/00_church_aspects.txt.No effect if the country does not have the aspect.Does not work with Blessings.,1.12
set_defender_of_the_faith,who = <scope>The country to set as Defender of the Faith.religion = <religion>Optional. The religion for which to set Defender of the Faith.,"set_defender_of_the_faith = {
    who = FRA
    religion = catholic
}",Sets the defined scope as the Defender of the Faith of the specified religion.,"Ifreligionis not defined, uses the current religion ofwho.Works even for religions that do not normally allow Defender of the Faith.",1.32
remove_defender_of_the_faith,who = <scope>The country to remove as Defender of the Faith.religion = <religion>Optional. The religion from which to remove Defender of the Faith.,"remove_defender_of_the_faith = {
    who = FRA
    religion = catholic
}",Removes the defined scope as the Defender of the Faith of the specified religion.,"Ifreligionis not defined, uses the current religion ofwho.",1.32
set_papal_controller,<scope>,set_papal_controller = FRA,Sets the defined scope as the new Papal Controller.,Current Pope will die.,1.35
transfer_papal_controller,<scope>,transfer_papal_controller = FRA,Sets the defined scope as the new Papal Controller without killing the current Pope.,,1.36
add_papal_influence,<int>The amount of papal influence to add or subtract.,add_papal_influence = 10,Adds Papal Influence to the current scope.,No effect if the country does not hold a religion usingpapacy.,1.1
add_reform_desire,<float>The amount reform desire to add or subtract.,add_reform_desire = 0.5,Adds Reform Desire to the country's religion.,,1.1
excommunicate,<scope>The scope to excommunicate.,excommunicate = FRA,"Excommunicates the defined scope. If already excommunicated, removes excommunication.",,1.12
set_papacy_active,yesnoBoolean.,set_papacy_active = yes,Enables or disables the Papacy mechanic.,,1.1
add_piety,<float>The amount of piety to add or subtract.,add_piety = 0.5,Adds Piety to the current scope.,No effect if the country does not hold a religion usinguses_piety.,1.1
add_curia_treasury,<float>The amount of money to add or subtract to the curia treasury.,add_curia_treasury = 100,Adds money to the curia treasury,,1.30
set_school_opinion,who = <who>Which country to alter opinion with.opinion = <opinion>Which opinion state to change to.,"set_school_opinion = {
    who = TUR
    opinion = -1
}",Changes the current scope's school opinion towards the defined scope's school.,"-1for negative,0for netural and1for positive.",1.23
set_religious_school,group = <religious group>Which religious group to take the school from.school = <school>Which school to change to.,"set_religious_school = {
    group = muslim
    school = hanafi_school
}",Changes the current scope's religious school.,Religious Schools are found in/Europa Universalis IV/common/religions/00_religions.txt.,1.23
add_patriarch_authority,<float>The amount of patriarch authority to add or subtract.,add_patriarch_authority = 0.5,Adds Patriarch Authority to the current scope.,No effect if the country does not hold a religion usinghas_patriarchs.,1.1
change_personal_deity,<deity>The personal deity to add.,change_personal_deity = odin,Changes the current personal deity for the current scope.,Personal Deities are found in/Europa Universalis IV/common/personal_deities/*.txt.No effect if the country does not hold a religion usingpersonal_deity.,1.6
add_harmony,<int>The amount of harmony to add or subtract.,add_harmony = 10,Adds Harmony to the current scope.,No effect if the country does not hold a religion usinguses_harmony.,1.20
add_harmonized_religion,<religion>The religion to harmonize.,add_harmonized_religion = catholic,Adds a religion to the list of Harmonized religions for the current scope.,No effect if the country does not hold a religion usinguses_harmony.,1.20
add_harmonization_progress,<int>The amount of progress to add or subtract.,add_harmonization_progress = 10,Adds Harmonization Progress for the current harmonization target to the current scope.,No effect if the country does not hold a religion usinguses_harmony.,1.20
unlock_cult,<cult>The cult to unlock.,unlock_cult = yemoja_cult,Adds the defined cult to the current scope.,Cults can be found in/Europa Universalis IV/common/fetishist_cults/*.txt.No effect if the country does not hold a religion usingfetishist_cult.,1.18
change_cult,<cult>The cult to change to.,change_cult = yemoja_cult,Changes the current cult for the current scope.,Cults can be found in/Europa Universalis IV/common/fetishist_cults/*.txt.No effect if the country does not hold a religion usingfetishist_cult.,1.32
add_isolationism,<int>The amount of isolationism to add or subtract.,add_isolationism = 1,Adds Isolationism to the current scope.,No effect if the country does not hold a religion usinguses_isolationism.,1.20
set_isolationism,<int>The amount of isolationism to set.,set_isolationism = 2,Sets Isolationism for the current scope.,No effect if the country does not hold a religion usinguses_isolationism.,1.20
add_incident_variable_value,incident = <incident>The incident to change.value = <int>The amount to add to the incident variable.,"add_incident_variable_value = {
    incident = incident_urbanization
    value = -1
}",Changes the value of an Incident for the current scope.,Incidents are found in/Europa Universalis IV/common/isolationism/*.txtNo effect if the country does not hold a religion usinguses_isolationism.,1.20
set_incident_variable_value,incident = <incident>The incident to change.value = <int>The amount to set the incident variable to.,"set_incident_variable_value = {
    incident = incident_urbanization
    value = 1
}",Sets the value of an Incident for the current scope.,Incidents are found in/Europa Universalis IV/common/isolationism/*.txtNo effect if the country does not hold a religion usinguses_isolationism.,1.20
add_idea,<idea>The idea to add.,add_idea = military_traditions,Adds an idea for the current scope.,Ideas are found in/Europa Universalis IV/common/ideas/*.txt.Won't work if the idea isn't present in a National Idea set or a taken Ideagroups set for the country.,1.6
add_idea_group,<ideagroup>The ideagroup to add.,add_idea_group = aristocracy_ideas,Adds an ideagroup for the current scope.,Ideagroups are found in/Europa Universalis IV/common/ideas/*.txt.Won't work if the country doesn't have any free ideagroup slots.,1.6
add_active_policy,<policy>The policy to add.,add_active_policy = the_statute_of_monopolies,Adds a policy for the current scope.,"Policies are found in/Europa Universalis IV/common/policies/*.txt.Won't work if the policy triggers are not met by the country, or there are no free policy slots.",1.21
change_technology_group,<technology group>The technology group to change to.,change_technology_group = western,Changes the technology group of the current scope.,"Technology Groups are found in/Europa Universalis IV/common/technology.txt.Doesn't change units, usechange_unit_type.",1.1
remove_idea,<idea>The idea to remove.,remove_idea = military_traditions,Removes an idea for the current scope.,Ideas are found in/Europa Universalis IV/common/ideas/*.txt.Won't work if the idea isn't held.,1.6
remove_idea_group,<ideagroup>The ideagroup to remove.,remove_idea_group = military_traditions,Removes an ideagroup for the current scope.,Ideagroups are found in/Europa Universalis IV/common/ideas/*.txt.Won't work if the ideagroup isn't held.,1.6
set_primitive,yes / noBoolean.,set_primitive = no,Toggles Primitive status for the current scope.,"Primitive status controls whether a country has ships and if they can see Primitive-only mechanics, such as Religious Reforms.",1.18
swap_free_idea_group,yesBoolean.,swap_free_idea_group = yes,"Re-evaluates the current scope's national idea set assignment, if they match a different set, they will switch to it.",Used after tag changes to change Nationa Idea sets.,1.1
add_next_institution_embracement,<int>The amount of embracement to add.,add_next_institution_embracement = 10,Adds embracement for the current progressing institution within the current scope.,Institutions are found in/Europa Universalis IV/common/institutions/*.txt.,1.21
add_next_institution_embracement_scaled,<int>The amount of embracement to add. An integer of 5 equates 1/6th of a province's development in percentage points of increase.,add_next_institution_embracement = 5,"Adds embracement for the current progressing institution within the current scope, scaled to province development.",Institutions are found in/Europa Universalis IV/common/institutions/*.txt.,1.27
add_adm_tech,<int>The amount of technologies to add.,add_adm_tech = 1,AddsADMtechnologies to the current scope.,You cannot remove technologies.,1.21
add_dip_tech,<int>The amount of technologies to add.,add_dip_tech = 1,AddsDIPtechnologies to the current scope.,You cannot remove technologies.,1.21
add_mil_tech,<int>The amount of technologies to add.,add_mil_tech = 1,AddsMILtechnologies to the current scope.,You cannot remove technologies.,1.21
add_prestige,"<float>The amount to add or subtract.<scope>The value to take fromscope, to add or subtract.",add_prestige = 50,Adds prestige to the current scope.,,1.1
set_capital,<province_id>Province ID of the new capital.,set_capital = 118,Changes the capital of the scoped country to the selected province ID.,Can also use the scripted effect move_capital_effect = yes in a province scope nested in a country scope to accomplish the same thing as well as remove province form HRE.,1.1
add_corruption,<float>The amount to add or subtract.,add_corruption = 2,Adds corruption to the current scope.,,1.16
