Value,Type,Description,Scope,Example
government_power_frozen,Clause,"Returns true, if the country has the specified government power for the specified government mechanic frozen.",Country,"government_power_frozen = {
        mechanic_type = russian_modernization_mechanic
        power_type = russian_modernization
    }"
government_rank,Integer,Returns true if the country has agovernment rankof X or higher.,Country,government_rank = 2
government_reform_progress,Float,Returns true if the country has x or more reform progress saved up.,Country,government_reform_progress = 5
great_power_rank,Integer,Returns true if the country has agreat powerrank of 2 or worse.,Country,great_power_rank = 2
grown_by_development,Integer,Returns true if the country's total development has grown by the specified amount,Country,grown_by_development = 50
grown_by_states,Integer,Returns true if the country's total number of states (not areas) has grown by the specified amount. The states don't have to be fully owned and the provinces don't need full cores.,Country,grown_by_states = 5
guaranteed_by,"Tag, Scope",Returns true if the country isguaranteedby X.,Country,guaranteed_by = ROOT
had_active_policy,Clause,"Returns true, if the country still has and had the specified policy for at least X days.",Country,"had_active_policy = {
        policy = the_combination_act
        days = 365
    }"
had_consort_flag,Clause,Returns true if the consort flag X was last set at least Y days ago,Country,"had_consort_flag = {
        flag = my_first_consort_flag
        days = 365
    }"
had_country_flag,Clause,Returns true if the country flag X was last set for the country at least Y days ago.,Country,"had_country_flag = {
        flag = bur_successor
        days = 180
    }"
had_global_flag,Clause,Returns true if the global flag X was last set at least Y days ago.,Anywhere,"had_global_flag = {
        flag = inc_smallpox
        days = 9125
    }"
had_heir_flag,Clause,Returns true if the heir flag X was last set at least Y days ago,Country,"had_heir_flag = {
        flag = inc_pacific_exploration
        days = 270
    }"
had_province_flag,Clause,Returns true if the province flag X was last set for the province at least Y days ago.,Province,"had_province_flag = {
        flag = dutch_revolt
        days = 1825
    }"
had_recent_war,Integer,Returns true if the country fought a war within the last X years.,Country,had_recent_war = 10
had_ruler_flag,Clause,Returns true if the ruler flag X was last set for the current ruler at least Y days ago,Country,"had_ruler_flag = {
        flag = helped_rival
        days = 730
    }"
harmonization_progress,Integer,"Returns true, if the country's current harmonization progress is at least at X.",Country,harmonization_progress = 90
harmony,Integer,"Returns true, if the country has at least X harmony.",Country,harmony = 50
has_active_debate,Boolean,Returns true if the country has ongoingdebatein parliament.,Country,has_active_debate = yes
has_active_fervor,Boolean,Returns true if the country has activated afervoreffect.,Country,has_active_fervor = no
has_active_policy,Identifier,Returns true if country has the specifiedpolicyactive.,Country,has_active_policy = noble_loyalty_act
has_active_triggered_province_modifier,Identifier,Returns true if province has the specified province triggered modifier. Province triggered modifier does not need to be active.,Province,has_active_triggered_province_modifier = test_modifier
has_adopted_cult,Identifier,Returns true if the country has adopted the specifiedcult.,Country,has_adopted_cult = roog_cult
has_advisor,Boolean,Returns true if the country has hired anadvisor.Warning: Interprets every right side argument asyes.,Country,has_advisor = yes
has_age_ability,Identifier,"Returns true, if the country has the specified age ability.",Country,has_age_ability = ab_justified_wars
has_any_disaster,Boolean,Returns true if the country is currently in adisaster.,Country,has_any_disaster = no
has_assimilated_culture,"Identifier, Scope",Returns true if the country hasassimilatedthe specified culture.Only works with base scopes.,Country,has_assimilated_culture = roman
has_assimilated_culture_group,"Identifier, Scope",Returns true if the country hasassimilatedthe specified culture group.Only works with base scopes.,Country,has_assimilated_culture_group = lost_cultures_group
has_been_eclipsed_by,"Tag, Scope",Returns true if the country cannot be rivaled by the specified country.,Country,has_been_eclipsed_by = FRA
has_border_with_religious_enemy,yes,Returns true if the country borders any country of a different religion.Warning: Interprets anything after ‘=’ as “yes”.,Country,has_border_with_religious_enemy = yes
has_building,Identifier,Returns true if there is the specified building in the province.,Province,has_building = fort_15th
has_cardinal,Boolean,Returns true if the province has acardinalin the curia.,Province,has_cardinal = yes
has_casus_belli,Clause,Returns true if the country has acasus belliof type X against country Y.,Country,"has_casus_belli = {
        type = cb_trade_war_triggered
        target = TOT
    }"
has_casus_belli_against,"Tag, Scope",Returns true if the country has acasus belliagainst country X.,Country,has_casus_belli_against = PREV
has_center_of_trade_of_level,Integer,Returns true if the country has a center of trade of a least level X.,Country,has_center_of_trade_of_level = 3
has_changed_nation,Boolean,Returns true if playing as a released vassal.,Global,has_changed_nation = yes
has_church_aspect,Identifier,Returns true if the country has enabled thechurch aspectX.,Country,has_church_aspect = allow_usury_aspect
has_climate,Identifier,Returns true if the province hasclimateX.,Province,has_climate = tropical
has_colonial_parent,Tag,Returns true if the specified country is the colonial parent of the country.,Country,has_colonial_parent = GBR
has_colonist,Boolean,Returns true if scoped province has an active colonist,Province,has_colonist = yes
has_commanding_three_star,Boolean,"Returns true, if country has a three star general.",Country,has_commanding_three_star = yes
has_consort,Boolean,Returns true if the country has aconsort.,Country,has_consort = yes
has_consort_flag,Identifier,Returns true if the consort flag X is set.,Country,has_consort_flag = royal_couple_shared_adm_interests
has_consort_regency,Boolean,Returns true if the country has aconsort regency.,Country,has_consort_regency = yes
has_construction,Identifier,"Returns true if there is the specified construction in progress in the province.Possible values are core, culture, building, merchant, diplomat, missionary, army, navy, canal, great_project, and any specific building and great project name.Note: has loading order issues in 1.35, when used in building triggers",Province,has_construction = core
has_country_flag,Identifier,Returns true if the flag X is set for the country.,Country,has_country_flag = zan_shirazi_islam_confirmed
has_country_modifier,Identifier,Returns true if the country has the modifier X.,Country,has_country_modifier = western_embassy_mission
has_custom_ideas,Boolean,Returns true if the country hascustom ideas.,Country,has_custom_ideas = yes
has_disaster,Identifier,Returns true if the country is currently in thedisasterX.,Country,has_disaster = time_of_troubles
has_disaster_progress,Clause,Returns true if thedisasterprogress of the specified disaster is at least X in the country.,Country,"has_disaster_progress = {
        disaster = time_of_troubles
        value = 50
    }"
has_discovered,"Province ID, Scope",Returns true if the country has discovered the province with the ID X.,Country,has_discovered = 313
has_discovered,"Tag, Scope",Returns true if the country X has discovered the province.,Province,has_discovered = ROOT
has_divert_trade,Boolean,Returns true if theprotectoratehas divert trade to its overlord.,(Subject) Country,has_divert_trade = yes
has_dlc,Identifier,Returns true if theDLCX is enabled. Doesn't work for unit packs and music packs.,Anywhere,"has_dlc = ""The Cossacks"""
has_eclipsed,"Tag, Scope",Returns true if the country cannot rival the specified country.,Country,has_eclipsed = GBR
has_embargo_rivals,Boolean,Returns true if thesubject nationis embargoing overlord's rivals.,(Subject) Country,has_embargo_rivals = no
has_empty_adjacent_province,yes,Returns true if an adjacent province is uncolonized.Warning: Works only with 'yes'.,Province,has_empty_adjacent_province = yes
has_estate,Identifier,Returns true if the country hasestateX.,Country,has_estate = estate_dhimmi
has_estate,Boolean,Returns true if the province is controlled by anestate.,Province,has_estate = no
has_estate,Identifier,Returns true if the province is controlled by theestateX.,Province,has_estate = estate_church
has_estate_influence_modifier,Clause,Returns true if theestateX in the country has the influence modifier Y.,Country,"has_estate_influence_modifier = {
        estate = estate_church
        modifier = EST_VAL_RELIGIOUS_ZEALOTS_TRIUMPH
    }"
has_estate_loan,Boolean,Returns true if the country has anestateloan.,Country,has_estate_loan = no
has_estate_loyalty_modifier,Clause,Returns true if theestateX in the country has the loyalty modifier Y.,Country,"has_estate_loyalty_modifier = {
        estate = estate_nobles
        modifier = EST_VAL_NOT_LEGITIMATE
    }"
has_estate_privilege,Privilege,Returns true if the country has the listed privilege.,Country,has_estate_privilege = foo
has_faction,Idenitifer,Returns true if the country has the specified faction.,Country,has_faction = enuchs
has_factions,Boolean,Returns true if country hasfactions.,Country,has_factions = yes
has_female_consort,Boolean,Returns true if the country has a femaleconsort.,Country,has_female_consort = yes
has_female_heir,Boolean,Returns true if the country has a femaleheir.,Country,has_female_heir = yes
has_first_revolution_started,Boolean,Returns true if arevolutionhas happened in the world.,Anywhere,has_first_revolution_started = yes
has_flagship,Boolean,Returns true if the country has a flagship.,Country,has_flagship = yes
has_foreign_consort,Boolean,Returns true if the country has foreignconsort.,Country,has_foreign_consort = no
has_foreign_heir,Boolean,Returns true if the country has foreignheir.,Country,has_foreign_heir = no
has_friendly_reformation_center,Boolean,Returns true if the country has a friendlycenter of reformation.,Country,has_friendly_reformation_center = yes
has_game_started,Boolean,Returns true if the game has started.,Global,has_game_started = no
has_given_consort_to,"Tag, Scope",Returns true if the scoped country has given aconsortto the specified country.,Country,has_given_consort_to = ROOT
has_global_flag,Identifier,Returns true if the specified global flag is set.,Anywhere,has_global_flag = japan_has_encountered_the_west
has_global_modifier_value,Clause,Returns true if the value of the specified modifier is at least X for the country.,Country,"has_global_modifier_value = {
        which = cavalry_power
        value = 0.5
    }"
has_government_attribute,Identifier,Returns true if any of the country's government reforms have the specified attribute set.,,has_government_attribute = enables_estate_nobles
has_government_mechanic,Identifier,"Returns true, if the country uses the specified government mechanic.",Country,has_government_mechanic = russian_mechanic
has_government_power,Clause,"Returns true, if the country has the specified amount of the specified government power for the specified government mechanic.",Country,"has_government_power = {
        mechanic_type = russian_modernization_mechanic
        power_type = russian_modernization
        value = 10
    }"
has_great_project,Clause,"Returns true if the country has the specifiedgreat project, or any, at the given tier or above.",Province,"has_great_project = {
        type = alhambra
        tier = 3
    }has_great_project = {
        type = any
        tier = 2
    }"
has_guaranteed,"Tag, Scope",Returns true if the country hasguaranteedcountry X.,Country,has_guaranteed = TUR
has_had_golden_age,Boolean,"Returns true, if the country has agolden age.",Country,has_had_golden_age = yes
has_harmonized_with,"Identifier, Scope","Returns true, if the country has harmonized with the specified religion or religion group.",Country,has_harmonized_with = tengri_pagan_reformed
has_harsh_treatment,Boolean,Description needed,Scope needed,has_harsh_treatment = yes
has_heir,"Boolean, Name",Returns true if the country has anheir(named X).,Country,has_heir = yes
has_heir_flag,Identifier,Returns true if the heir flag X is set.,Country,has_heir_flag = suspected_bastard
has_heir_leader_from,"Tag, Scope",Returns true if an army in the province is led by an heir from X.,Province,has_heir_leader_from = ROOT
has_hostile_reformation_center,Boolean,Returns true if the country has a hostilecenter of reformation.,Country,has_hostile_reformation_center = yes
has_idea,Identifier,Returns true if the country has the Xidea.,Country,has_idea = grand_navy
has_idea_group,Identifier,Returns true if the country has chosen the Xidea group.,Country,has_idea_group = humanist_ideas
has_influencing_fort,Boolean,Returns true if the province in the Zone of control of afort.,Province,has_influencing_fort = yes
has_institution,Identifier,Returns true if the country has the specifiedinstitution.,Country,has_institution = feudalism
has_latent_trade_goods,Identifier,Returns true if the province has the specified latent trade good.,Province,has_latent_trade_goods = coal
has_leader,Identifier,"Returns true if the country has the leader ""X"".",Country,"has_leader = ""János Hunyadi"""
has_leader_with,Clause,"Returns true if the country has aleaderwith at least the specified stats.Also supportsadmiral = yes,general = yesandis_monarch_leader = yes",Country,"has_leader_with = {
        fire = 3
        shock = 3
        manuever = 2
        siege = 1
        total_pips = 11
    }"
has_leaders,Clause,Returns true if the country has at least X amount of generals. Used to exclude heirs and monarchs from the count.Also supportstype = admiral.,Country,"has_leaders = {
        value = 1
            type = general
        include_monarch = no
        include_heir = no
    }"
has_local_modifier_value,Clause,Returns true if the value of the specified modifier is at least X for the province.,Province,"has_local_modifier_value = {
        which = local_production_efficiency
        value = 0.15
    }"
has_matching_religion,Identifier,Returns true if the country has the specified religion or syncretic faith.,Country,has_matching_religion = mahayana
has_matching_religion,Scope,Returns true if the countries have the same religion or syncretic faith.,Country,has_matching_religion = ROOT
has_merchant,"Tag, Scope",Returns true if the scoped country has an activemerchantin thetrade node.,Province(Trade node),has_merchant = PREV
has_mission,Identifier,Returns true if the country has the specified mission.,Country,has_mission = rus_patriarchate_mission
